trade_id,portfolio,asset_id,issuer,sector,rating,side,par_amount,price,country
T001,LCP_FUND_1,TL041,North Cable 2,Communications,BB,BUY,500000,99.0,US
T002,LCP_FUND_1,TL002,Delta Energy,Energy,B,SELL,300000,96.5,US
T003,LCP_FUND_1,TL042,Omega Leisure,Consumer,CCC,BUY,700000,92.0,US
T004,LCP_FUND_1,TL008,Atlas Finance,Financials,BB,BUY,400000,100.5,US
T005,LCP_FUND_1,TL014,Helios Power,Utilities,BBB,SELL,200000,102.0,US
T006,LCP_FUND_1,TL043,Maple Fiber,Materials,BB,BUY,350000,98.2,CA
T007,LCP_FUND_1,TL011,Vertex Software,Technology,BBB,BUY,250000,103.3,US
T008,LCP_FUND_1,TL017,IronPeak Mining,Materials,B,SELL,150000,92.9,CA
T009,LCP_FUND_1,TL044,EverTrust Bank,Financials,BB,BUY,600000,99.8,UK
T010,LCP_FUND_1,TL015,Pioneer Telecom,Communications,B,SELL,250000,95.1,CA
T011,LCP_FUND_1,TL045,Redwood Health,Healthcare,BB,BUY,450000,100.1,US
T012,LCP_FUND_1,TL046,Pacific Jet,Industrials,B,BUY,300000,94.4,US
T013,LCP_FUND_1,TL004,Urban Retail,Consumer,B,SELL,200000,94.2,US
T014,LCP_FUND_1,TL047,EuroChem,Materials,BB,BUY,500000,97.5,DE
T015,LCP_FUND_1,TL018,Horizon Transport,Industrials,BB,BUY,275000,98.1,US
T016,LCP_FUND_1,TL048,CoreGrid Utilities,Utilities,BBB,BUY,400000,101.2,US
T017,LCP_FUND_1,TL005,Global Media,Communications,BBB,SELL,100000,102.4,UK
T018,LCP_FUND_1,TL049,Silver Oak Pharma,Healthcare,BBB,BUY,325000,102.0,US
T019,LCP_FUND_1,TL050,Nova Retail,Consumer,B,BUY,550000,93.5,US
T020,LCP_FUND_1,TL009,Summit Packaging,Materials,B,SELL,100000,96.0,CA
T021,LCP_FUND_2,TL051,Alpha Compute,Technology,BB,BUY,500000,99.6,US
T022,LCP_FUND_2,TL022,Harbor Fuel,Energy,B,SELL,250000,95.4,US
T023,LCP_FUND_2,TL052,Prime Pharma,Healthcare,BB,BUY,420000,100.4,US
T024,LCP_FUND_2,TL024,Meridian Stores,Consumer,B,SELL,200000,93.7,US
T025,LCP_FUND_2,TL053,Signal Media,Communications,BB,BUY,350000,99.1,UK
T026,LCP_FUND_2,TL026,StoneBridge Capital,Financials,BB,BUY,275000,99.9,US
T027,LCP_FUND_2,TL054,BlueRock Metals,Materials,B,BUY,300000,95.3,CA
T028,LCP_FUND_2,TL032,Quantum Systems,Technology,BBB,SELL,150000,103.6,US
T029,LCP_FUND_2,TL055,Skyward Aviation,Industrials,B,BUY,450000,94.1,UK
T030,LCP_FUND_2,TL028,SunGrid Utilities,Utilities,BBB,SELL,100000,101.8,US
T031,LCP_FUND_2,TL056,Harbor Leisure,Consumer,CCC,BUY,500000,91.8,US
T032,LCP_FUND_2,TL037,TerraDrill Energy,Energy,B,BUY,220000,94.9,US
T033,LCP_FUND_2,TL057,Trustline Bank,Financials,BB,BUY,410000,100.2,US
T034,LCP_FUND_2,TL038,Union Cable,Communications,BB,SELL,180000,99.0,UK
T035,LCP_FUND_2,TL058,Northern Clinics,Healthcare,BBB,BUY,260000,102.5,CA
T036,LCP_FUND_2,TL039,FreshHarvest Foods,Consumer,BB,BUY,240000,99.7,US
T037,LCP_FUND_2,TL059,Terra Water,Utilities,BB,BUY,320000,99.0,CA
T038,LCP_FUND_2,TL033,Westline Aviation,Industrials,B,SELL,120000,94.0,UK
T039,LCP_FUND_2,TL060,Continental Tech,Technology,BBB,BUY,350000,103.0,US
T040,LCP_FUND_2,TL029,Northshore Plastics,Materials,B,SELL,140000,94.4,US
