trade_id,portfolio,asset_id,issuer,sector,rating,side,par_amount,price,country,projected_cash,status,reasons
T001,LCP_FUND_1,TL041,North Cable 2,Communications,BB,BUY,500000,99.0,US,505000.0,APPROVED,
T002,LCP_FUND_1,TL002,Delta Energy,Energy,B,SELL,300000,96.5,US,794500.0,APPROVED,
T005,LCP_FUND_1,TL014,Helios Power,Utilities,BBB,SELL,200000,102.0,US,998500.0,APPROVED,
T006,LCP_FUND_1,TL043,Maple Fiber,Materials,BB,BUY,350000,98.2,CA,654800.0,APPROVED,
T008,LCP_FUND_1,TL017,IronPeak Mining,Materials,B,SELL,150000,92.9,CA,794150.0,APPROVED,
T010,LCP_FUND_1,TL015,Pioneer Telecom,Communications,B,SELL,250000,95.1,CA,1031900.0,APPROVED,
T011,LCP_FUND_1,TL045,Redwood Health,Healthcare,BB,BUY,450000,100.1,US,581450.0,APPROVED,
T013,LCP_FUND_1,TL004,Urban Retail,Consumer,B,SELL,200000,94.2,US,769850.0,APPROVED,
T015,LCP_FUND_1,TL018,Horizon Transport,Industrials,BB,BUY,275000,98.1,US,500075.0,APPROVED,
T017,LCP_FUND_1,TL005,Global Media,Communications,BBB,SELL,100000,102.4,UK,602475.0,APPROVED,
T020,LCP_FUND_1,TL009,Summit Packaging,Materials,B,SELL,100000,96.0,CA,698475.0,APPROVED,
T022,LCP_FUND_2,TL022,Harbor Fuel,Energy,B,SELL,250000,95.4,US,936975.0,APPROVED,
T023,LCP_FUND_2,TL052,Prime Pharma,Healthcare,BB,BUY,420000,100.4,US,515295.0,APPROVED,
T024,LCP_FUND_2,TL024,Meridian Stores,Consumer,B,SELL,200000,93.7,US,702695.0,APPROVED,
T028,LCP_FUND_2,TL032,Quantum Systems,Technology,BBB,SELL,150000,103.6,US,858095.0,APPROVED,
T030,LCP_FUND_2,TL028,SunGrid Utilities,Utilities,BBB,SELL,100000,101.8,US,959895.0,APPROVED,
T032,LCP_FUND_2,TL037,TerraDrill Energy,Energy,B,BUY,220000,94.9,US,751115.0,APPROVED,
T034,LCP_FUND_2,TL038,Union Cable,Communications,BB,SELL,180000,99.0,UK,929315.0,APPROVED,
T035,LCP_FUND_2,TL058,Northern Clinics,Healthcare,BBB,BUY,260000,102.5,CA,662815.0,APPROVED,
T038,LCP_FUND_2,TL033,Westline Aviation,Industrials,B,SELL,120000,94.0,UK,775615.0,APPROVED,
T040,LCP_FUND_2,TL029,Northshore Plastics,Materials,B,SELL,140000,94.4,US,907775.0,APPROVED,
