portfolio,asset_id,issuer,sector,rating,par_amount,price,market_value,duration,spread,country
LCP_FUND_1,TL001,ABC Corp,Technology,BB,2000000,98.5,1970000,4.2,325,US
LCP_FUND_1,TL002,Delta Energy,Energy,B,1500000,96.0,1440000,3.8,410,US
LCP_FUND_1,TL003,Metro Health,Healthcare,BB,1000000,101.0,1010000,5.1,290,US
LCP_FUND_1,TL004,Urban Retail,Consumer,B,1200000,94.0,1128000,2.9,450,US
LCP_FUND_1,TL005,Global Media,Communications,BBB,800000,102.5,820000,6.0,210,UK
LCP_FUND_1,TL006,North Cable,Communications,BB,900000,99.2,892800,4.4,315,US
LCP_FUND_1,TL007,Prime Logistics,Industrials,BB,1400000,97.3,1362200,4.7,340,US
LCP_FUND_1,TL008,Atlas Finance,Financials,BB,1100000,100.5,1105500,3.6,280,US
LCP_FUND_1,TL009,Summit Packaging,Materials,B,950000,95.8,910100,3.3,390,CA
LCP_FUND_1,TL010,Orion Leisure,Consumer,B,700000,93.7,655900,2.8,470,US
LCP_FUND_1,TL011,Vertex Software,Technology,BBB,600000,103.1,618600,5.8,205,US
LCP_FUND_1,TL012,BlueWave Shipping,Industrials,BB,1000000,98.0,980000,4.1,330,UK
LCP_FUND_1,TL013,Evergreen Foods,Consumer,BB,850000,99.4,844900,3.7,300,US
LCP_FUND_1,TL014,Helios Power,Utilities,BBB,750000,101.8,763500,6.2,220,US
LCP_FUND_1,TL015,Pioneer Telecom,Communications,B,1250000,94.9,1186250,3.5,430,CA
LCP_FUND_1,TL016,Silverline Pharma,Healthcare,BBB,650000,102.2,664300,5.5,240,US
LCP_FUND_1,TL017,IronPeak Mining,Materials,B,900000,92.6,833400,3.1,495,CA
LCP_FUND_1,TL018,Horizon Transport,Industrials,BB,1050000,97.9,1027950,4.6,345,US
LCP_FUND_1,TL019,Capital Trust,Financials,BBB,950000,101.4,963300,5.0,225,UK
LCP_FUND_1,TL020,Clearwater Services,Utilities,BB,700000,99.9,699300,4.0,295,US
LCP_FUND_2,TL021,Aurora Tech,Technology,BB,1800000,98.9,1780200,4.3,320,US
LCP_FUND_2,TL022,Harbor Fuel,Energy,B,1300000,95.1,1236300,3.4,420,US
LCP_FUND_2,TL023,CityCare Clinics,Healthcare,BB,900000,100.8,907200,5.0,285,US
LCP_FUND_2,TL024,Meridian Stores,Consumer,B,1100000,93.4,1027400,2.7,455,US
LCP_FUND_2,TL025,Galaxy Broadcast,Communications,BBB,850000,102.1,867850,5.9,215,UK
LCP_FUND_2,TL026,StoneBridge Capital,Financials,BB,1000000,99.7,997000,3.8,275,US
LCP_FUND_2,TL027,Riverbend Freight,Industrials,BB,1250000,97.0,1212500,4.5,350,CA
LCP_FUND_2,TL028,SunGrid Utilities,Utilities,BBB,800000,101.6,812800,6.1,230,US
LCP_FUND_2,TL029,Northshore Plastics,Materials,B,950000,94.2,894900,3.2,405,US
LCP_FUND_2,TL030,Beacon Wireless,Communications,B,1150000,95.6,1099400,3.6,425,CA
LCP_FUND_2,TL031,Medistar Labs,Healthcare,BBB,700000,102.9,720300,5.4,245,US
LCP_FUND_2,TL032,Quantum Systems,Technology,BBB,650000,103.4,672100,5.7,210,US
LCP_FUND_2,TL033,Westline Aviation,Industrials,B,900000,93.8,844200,3.0,460,UK
LCP_FUND_2,TL034,Crescent Hotels,Consumer,B,750000,92.9,696750,2.6,485,US
LCP_FUND_2,TL035,Trinity Water,Utilities,BB,850000,99.1,842350,4.2,305,CA
LCP_FUND_2,TL036,Oakridge Lending,Financials,BBB,780000,101.7,793260,5.2,235,US
LCP_FUND_2,TL037,TerraDrill Energy,Energy,B,1000000,94.7,947000,3.5,440,US
LCP_FUND_2,TL038,Union Cable,Communications,BB,920000,98.8,908960,4.1,318,UK
LCP_FUND_2,TL039,FreshHarvest Foods,Consumer,BB,830000,99.5,825850,3.8,298,US
LCP_FUND_2,TL040,SecureNet Tech,Technology,BB,970000,100.2,971940,4.4,288,CA
