portfolio,asset_id,issuer,sector,rating,par_amount,price,market_value,duration,spread,country
LCP_FUND_1,TL001,ABC Corp,Technology,BB,2000000,98.5,1970000.0,4.2,325,US
LCP_FUND_1,TL002,Delta Energy,Energy,B,1200000,96.5,1158000.0,3.8,410,US
LCP_FUND_1,TL003,Metro Health,Healthcare,BB,1000000,101.0,1010000.0,5.1,290,US
LCP_FUND_1,TL004,Urban Retail,Consumer,B,1000000,94.2,942000.0,2.9,450,US
LCP_FUND_1,TL005,Global Media,Communications,BBB,700000,102.4,716800.0,6.0,210,UK
LCP_FUND_1,TL006,North Cable,Communications,BB,900000,99.2,892800.0,4.4,315,US
LCP_FUND_1,TL007,Prime Logistics,Industrials,BB,1400000,97.3,1362200.0,4.7,340,US
LCP_FUND_1,TL008,Atlas Finance,Financials,BB,1100000,100.5,1105500.0,3.6,280,US
LCP_FUND_1,TL009,Summit Packaging,Materials,B,850000,96.0,816000.0,3.3,390,CA
LCP_FUND_1,TL010,Orion Leisure,Consumer,B,700000,93.7,655900.0,2.8,470,US
LCP_FUND_1,TL011,Vertex Software,Technology,BBB,600000,103.1,618600.0,5.8,205,US
LCP_FUND_1,TL012,BlueWave Shipping,Industrials,BB,1000000,98.0,980000.0,4.1,330,UK
LCP_FUND_1,TL013,Evergreen Foods,Consumer,BB,850000,99.4,844900.0,3.7,300,US
LCP_FUND_1,TL014,Helios Power,Utilities,BBB,550000,102.0,561000.0,6.2,220,US
LCP_FUND_1,TL015,Pioneer Telecom,Communications,B,1000000,95.1,951000.0,3.5,430,CA
LCP_FUND_1,TL016,Silverline Pharma,Healthcare,BBB,650000,102.2,664300.0,5.5,240,US
LCP_FUND_1,TL017,IronPeak Mining,Materials,B,750000,92.9,696750.0,3.1,495,CA
LCP_FUND_1,TL018,Horizon Transport,Industrials,BB,1325000,98.1,1299824.9999999998,4.6,345,US
LCP_FUND_1,TL019,Capital Trust,Financials,BBB,950000,101.4,963300.0,5.0,225,UK
LCP_FUND_1,TL020,Clearwater Services,Utilities,BB,700000,99.9,699300.0,4.0,295,US
LCP_FUND_2,TL021,Aurora Tech,Technology,BB,1800000,98.9,1780200.0,4.3,320,US
LCP_FUND_2,TL022,Harbor Fuel,Energy,B,1050000,95.4,1001700.0,3.4,420,US
LCP_FUND_2,TL023,CityCare Clinics,Healthcare,BB,900000,100.8,907200.0,5.0,285,US
LCP_FUND_2,TL024,Meridian Stores,Consumer,B,900000,93.7,843300.0,2.7,455,US
LCP_FUND_2,TL025,Galaxy Broadcast,Communications,BBB,850000,102.1,867850.0,5.9,215,UK
LCP_FUND_2,TL026,StoneBridge Capital,Financials,BB,1000000,99.7,997000.0,3.8,275,US
LCP_FUND_2,TL027,Riverbend Freight,Industrials,BB,1250000,97.0,1212500.0,4.5,350,CA
LCP_FUND_2,TL028,SunGrid Utilities,Utilities,BBB,700000,101.8,712600.0,6.1,230,US
LCP_FUND_2,TL029,Northshore Plastics,Materials,B,810000,94.4,764640.0,3.2,405,US
LCP_FUND_2,TL030,Beacon Wireless,Communications,B,1150000,95.6,1099400.0,3.6,425,CA
LCP_FUND_2,TL031,Medistar Labs,Healthcare,BBB,700000,102.9,720300.0,5.4,245,US
LCP_FUND_2,TL032,Quantum Systems,Technology,BBB,500000,103.6,518000.0,5.7,210,US
LCP_FUND_2,TL033,Westline Aviation,Industrials,B,780000,94.0,733200.0,3.0,460,UK
LCP_FUND_2,TL034,Crescent Hotels,Consumer,B,750000,92.9,696750.0,2.6,485,US
LCP_FUND_2,TL035,Trinity Water,Utilities,BB,850000,99.1,842350.0,4.2,305,CA
LCP_FUND_2,TL036,Oakridge Lending,Financials,BBB,780000,101.7,793260.0,5.2,235,US
LCP_FUND_2,TL037,TerraDrill Energy,Energy,B,1220000,94.9,1157780.0,3.5,440,US
LCP_FUND_2,TL038,Union Cable,Communications,BB,740000,99.0,732600.0,4.1,318,UK
LCP_FUND_2,TL039,FreshHarvest Foods,Consumer,BB,830000,99.5,825850.0,3.8,298,US
LCP_FUND_2,TL040,SecureNet Tech,Technology,BB,970000,100.2,971940.0,4.4,288,CA
LCP_FUND_1,TL041,North Cable 2,Communications,BB,500000,99.0,495000.0,4.0,300,US
LCP_FUND_1,TL043,Maple Fiber,Materials,BB,350000,98.2,343700.0,4.0,300,CA
LCP_FUND_1,TL045,Redwood Health,Healthcare,BB,450000,100.1,450450.0,4.0,300,US
LCP_FUND_2,TL052,Prime Pharma,Healthcare,BB,420000,100.4,421680.0,4.0,300,US
LCP_FUND_2,TL058,Northern Clinics,Healthcare,BBB,260000,102.5,266500.0,4.0,300,CA
